Subject #,Experiment,Group,Condition,Trial,DZ Radius,Sensitivity,Curve Shape,Target Distance,Target Diameter,Click Hit,Click Distance,Overshot,Most Further Hand Position,Click Time
0,s,C,2,5,30,21,1,15.00,2.00,1,-1.00,0,109.00,-63604535969113
0,s,C,2,6,30,21,1,3.00,2.00,1,-1.00,0,62.00,-63604535970605
0,s,C,2,7,30,21,1,9.00,2.00,1,-1.00,0,83.00,-63604535971726
0,s,C,2,8,30,21,1,15.00,2.00,1,-1.00,1,107.00,-63604535973432
0,s,C,2,9,30,21,1,15.00,2.00,1,-1.00,1,116.00,-63604535976085
0,s,C,2,10,30,21,1,9.00,2.00,1,-1.00,0,96.00,-63604535979539
0,s,C,2,11,30,21,1,15.00,2.00,1,-1.00,0,119.00,-63604535980752
0,s,C,2,12,30,21,1,9.00,2.00,1,-1.00,0,84.00,-63604535982072
0,s,C,2,13,30,21,1,15.00,2.00,1,-1.00,0,111.00,-63604535983405
0,s,C,2,14,30,21,1,9.00,2.00,1,-1.00,0,88.00,-63604535984899
0,s,C,2,15,30,21,1,3.00,2.00,1,-1.00,0,61.00,-63604535986179
0,s,C,2,16,30,21,1,15.00,2.00,1,-1.00,0,111.00,-63604535987285
0,s,C,2,17,30,21,1,3.00,2.00,1,-1.00,0,59.00,-63604535988725
0,s,C,2,18,30,21,1,3.00,2.00,1,-1.00,1,69.00,-63604535989845
0,s,C,2,19,30,21,1,3.00,2.00,1,-1.00,0,54.00,-63604535991619
0,s,C,2,20,30,21,1,9.00,2.00,1,-1.00,0,89.00,-63604535992765
0,s,C,2,21,30,21,1,9.00,2.00,1,-1.00,0,93.00,-63604535993939
0,s,C,2,22,30,21,1,3.00,2.00,1,-1.00,1,61.00,-63604535996072
0,s,C,2,23,30,21,1,15.00,2.00,1,-1.00,0,110.00,-63604535997992
0,s,C,2,24,30,21,1,9.00,2.00,1,-1.00,0,63.00,-63604535999365
0,s,C,2,25,30,21,1,3.00,2.00,1,-1.00,0,50.00,-63604536001379
0,s,C,2,26,30,21,1,15.00,2.00,1,-1.00,0,89.00,-63604536002752
0,s,C,2,27,30,21,1,15.00,2.00,1,-1.00,1,93.00,-63604536004245
0,s,C,2,28,30,21,1,9.00,2.00,1,-1.00,1,73.00,-63604536007725
0,s,C,2,29,30,21,1,3.00,2.00,1,-1.00,0,46.00,-63604536009846
0,s,A,3,0,30,30,1,3.00,1.00,1,-1.00,1,133.00,-63604536034299
0,s,A,3,1,30,30,1,9.00,1.00,1,-1.00,1,81.00,-63604536040045
0,s,A,3,2,30,30,1,15.00,1.00,1,-1.00,1,101.00,-63604536048872
0,s,A,3,3,30,30,1,3.00,1.00,1,-1.00,0,46.00,-63604536054592
0,s,A,3,4,30,30,1,9.00,1.00,1,-1.00,0,73.00,-63604536055885
0,s,A,3,5,30,30,1,15.00,1.00,1,-1.00,1,127.00,-63604536057192
0,s,A,3,6,30,30,1,3.00,1.00,1,-1.00,1,50.00,-63604536066552
0,s,A,3,7,30,30,1,9.00,1.00,1,-1.00,1,74.00,-63604536071552
0,s,A,3,8,30,30,1,15.00,1.00,1,-1.00,0,75.00,-63604536079419
0,s,A,3,9,30,30,1,15.00,1.00,1,-1.00,1,67.00,-63604536081565
0,s,A,3,10,30,30,1,9.00,1.00,1,-1.00,0,57.00,-63604536083993
0,s,A,3,11,30,30,1,15.00,1.00,1,-1.00,0,72.00,-63604536086379
0,s,A,3,12,30,30,1,9.00,1.00,1,-1.00,0,69.00,-63604536087899
0,s,A,3,13,30,30,1,15.00,1.00,1,-1.00,1,82.00,-63604536089339
0,s,A,3,14,30,30,1,9.00,1.00,1,-1.00,0,54.00,-63604536095659
0,s,A,3,15,30,30,1,3.00,1.00,1,-1.00,1,42.00,-63604536097366
0,s,A,3,16,30,30,1,15.00,1.00,1,-1.00,0,82.00,-63604536102939
0,s,A,3,17,30,30,1,3.00,1.00,1,-1.00,1,49.00,-63604536104460
0,s,A,3,18,30,30,1,3.00,1.00,1,-1.00,0,42.00,-63604536113406
0,s,A,3,19,30,30,1,3.00,1.00,1,-1.00,1,53.00,-63604536115513
0,s,A,3,20,30,30,1,9.00,1.00,1,-1.00,1,71.00,-63604536117179
0,s,A,3,21,30,30,1,9.00,1.00,1,-1.00,0,66.00,-63604536119765
0,s,A,3,22,30,30,1,3.00,1.00,1,-1.00,1,41.00,-63604536121432
0,s,A,3,23,30,30,1,15.00,1.00,1,-1.00,1,62.00,-63604536126099
0,s,A,3,24,30,30,1,9.00,1.00,1,-1.00,0,62.00,-63604536130699
0,s,A,3,25,30,30,1,3.00,1.00,1,-1.00,1,41.00,-63604536132739
0,s,A,3,26,30,30,1,15.00,1.00,1,-1.00,1,87.00,-63604536136219
0,s,A,3,27,30,30,1,15.00,1.00,1,-1.00,1,89.00,-63604536140739
0,s,A,3,28,30,30,1,9.00,1.00,1,-1.00,1,57.00,-63604536143713
0,s,A,3,29,30,30,1,3.00,1.00,1,-1.00,1,60.00,-63604536146739
0,s,B,1,0,30,14,1,3.00,1.00,1,-1.00,1,73.00,-63604536158473
0,s,B,1,1,30,14,1,9.00,1.00,1,-1.00,1,60.00,-63604536159886
0,s,B,1,2,30,14,1,15.00,1.00,1,-1.00,0,93.00,-63604536163926
0,s,B,1,3,30,14,1,3.00,1.00,1,-1.00,0,61.00,-63604536166472
0,s,B,1,4,30,14,1,9.00,1.00,1,-1.00,0,96.00,-63604536167645
0,s,B,1,5,30,14,1,15.00,1.00,1,-1.00,1,99.00,-63604536169033
0,s,B,1,6,30,14,1,3.00,1.00,1,-1.00,0,49.00,-63604536172273
0,s,B,1,7,30,14,1,9.00,1.00,1,-1.00,0,85.00,-63604536174099
0,s,B,1,8,30,14,1,15.00,1.00,1,-1.00,0,90.00,-63604536175619
0,s,B,1,9,30,14,1,15.00,1.00,1,-1.00,1,73.00,-63604536177512
0,s,B,1,10,30,14,1,9.00,1.00,1,-1.00,1,98.00,-63604536181325
0,s,B,1,11,30,14,1,15.00,1.00,1,-1.00,1,112.00,-63604536184779
0,s,B,1,12,30,14,1,9.00,1.00,1,-1.00,0,98.00,-63604536187579
0,s,B,1,13,30,14,1,15.00,1.00,1,-1.00,0,106.00,-63604536189499
0,s,B,1,14,30,14,1,9.00,1.00,1,-1.00,1,105.00,-63604536191793
0,s,B,1,15,30,14,1,3.00,1.00,1,-1.00,1,142.00,-63604536194112
0,s,B,1,16,30,14,1,15.00,1.00,1,-1.00,0,129.00,-63604536198046
0,s,B,1,17,30,14,1,3.00,1.00,1,-1.00,1,75.00,-63604536200245
0,s,B,1,18,30,14,1,3.00,1.00,1,-1.00,1,73.00,-63604536201820
0,s,B,1,19,30,14,1,3.00,1.00,1,-1.00,1,77.00,-63604536203432
0,s,B,1,20,30,14,1,9.00,1.00,1,-1.00,1,105.00,-63604536207233
0,s,B,1,21,30,14,1,9.00,1.00,1,-1.00,0,97.00,-63604536215206
0,s,B,1,22,30,14,1,3.00,1.00,1,-1.00,0,54.00,-63604536216712
0,s,B,1,23,30,14,1,15.00,1.00,1,-1.00,1,106.00,-63604536219059
0,s,B,1,24,30,14,1,9.00,1.00,1,-1.00,0,91.00,-63604536224153
0,s,B,1,25,30,14,1,3.00,1.00,1,-1.00,1,50.00,-63604536225593
0,s,B,1,26,30,14,1,15.00,1.00,1,-1.00,0,77.00,-63604536231833
0,s,B,1,27,30,14,1,15.00,1.00,1,-1.00,1,101.00,-63604536234513
0,s,B,1,28,30,14,1,9.00,1.00,1,-1.00,0,83.00,-63604536242113
0,s,B,1,29,30,14,1,3.00,1.00,1,-1.00,0,49.00,-63604536243739
